USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1377  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:20]
root      1378  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:21]
root      1380  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:22]
root      1381  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:23]
root      1382  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:24]
root      1383  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:25]
root      1384  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:26]
root      1385  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:27]
root      1386  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:28]
root      1387  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:29]
root      1388  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:30]
root      1391  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:31]
root      1392  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:32]
root      1393  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:33]
root      1394  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:34]
root      1395  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:35]
root      1396  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:36]
root      1397  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:37]
root      1398  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:38]
root      1399  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:39]
root      1402  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:40]
